iter	Passed	Remaining
0	73	71632
1	141	68947
2	207	67182
3	271	65869
4	335	65085
5	400	64620
6	469	64856
7	545	65884
8	612	65736
9	680	65634
10	744	65239
11	809	64945
12	874	64743
13	941	64595
14	1008	64560
15	1074	64398
16	1153	64980
17	1217	64751
18	1282	64510
19	1347	64357
20	1420	64541
21	1491	64592
22	1559	64550
23	1628	64536
24	1693	64366
25	1760	64254
26	1826	64117
27	1891	63961
28	1960	63945
29	2030	63953
30	2099	63921
31	2166	63835
32	2231	63696
33	2303	63747
34	2368	63623
35	2435	63517
36	2508	63590
37	2575	63508
38	2649	63598
39	2716	63503
40	2785	63447
41	2851	63348
42	2921	63324
43	2996	63401
44	3063	63316
45	3131	63246
46	3202	63222
47	3267	63105
48	3332	62982
49	3397	62851
50	3465	62786
51	3544	62917
52	3620	62978
53	3688	62908
54	3755	62816
55	3822	62734
56	3888	62628
57	3958	62580
58	4027	62524
59	4098	62494
60	4166	62432
61	4232	62322
62	4302	62286
63	4381	62367
64	4451	62316
65	4519	62252
66	4589	62202
67	4657	62116
68	4722	62003
69	4792	61953
70	4857	61850
71	4925	61775
72	4996	61732
73	5064	61661
74	5132	61585
75	5201	61531
76	5266	61416
77	5336	61375
78	5403	61290
79	5473	61231
80	5547	61231
81	5624	61252
82	5694	61198
83	5762	61121
84	5828	61023
85	5895	60939
86	5966	60904
87	6038	60861
88	6106	60794
89	6172	60696
90	6238	60600
91	6303	60496
92	6368	60398
93	6436	60325
94	6510	60305
95	6580	60255
96	6655	60245
97	6721	60149
98	6786	60048
99	6851	59953
100	6920	59890
101	6990	59828
102	7062	59793
103	7137	59776
104	7208	59725
105	7276	59654
106	7342	59560
107	7412	59504
108	7483	59456
109	7551	59385
110	7619	59305
111	7690	59254
112	7755	59159
113	7820	59064
114	7888	58991
115	7961	58958
116	8030	58893
117	8099	58823
118	8165	58737
119	8232	58656
120	8305	58620
121	8373	58543
122	8442	58481
123	8513	58430
124	8583	58364
125	8649	58282
126	8714	58188
127	8779	58094
128	8845	58012
129	8913	57939
130	8981	57866
131	9049	57793
132	9126	57775
133	9202	57758
134	9273	57703
135	9341	57631
136	9407	57546
137	9476	57476
138	9546	57418
139	9615	57347
140	9685	57289
141	9752	57210
142	9823	57155
143	9889	57070
144	9960	57018
145	10031	56958
146	10102	56902
147	10169	56822
148	10235	56739
149	10301	56656
150	10368	56580
151	10437	56513
152	10505	56443
153	10576	56386
154	10650	56346
155	10716	56262
156	10782	56178
157	10848	56094
158	10913	56007
159	10983	55945
160	11055	55894
161	11126	55840
162	11193	55760
163	11260	55686
164	11329	55615
165	11395	55535
166	11463	55464
167	11534	55406
168	11604	55346
169	11671	55267
170	11737	55188
171	11803	55105
172	11869	55023
173	11934	54941
174	12004	54877
175	12071	54803
176	12139	54731
177	12204	54643
178	12268	54557
179	12333	54472
180	12399	54391
181	12467	54324
182	12539	54270
183	12609	54205
184	12677	54135
185	12746	54068
186	12815	54003
187	12884	53935
188	12953	53868
189	13022	53803
190	13090	53731
191	13160	53669
192	13225	53588
193	13291	53509
194	13357	53429
195	13434	53395
196	13508	53347
197	13577	53282
198	13646	53213
199	13711	53132
200	13777	53052
201	13844	52977
202	13910	52900
203	13987	52865
204	14058	52803
205	14132	52755
206	14199	52682
207	14265	52604
208	14330	52523
209	14396	52443
210	14471	52397
211	14540	52332
212	14608	52262
213	14680	52206
214	14746	52128
215	14813	52054
216	14878	51972
217	14946	51901
218	15014	51831
219	15082	51761
220	15154	51705
221	15220	51625
222	15286	51549
223	15355	51481
224	15422	51406
225	15497	51360
226	15565	51292
227	15642	51250
228	15709	51174
229	15782	51121
230	15852	51056
231	15919	50982
232	15989	50920
233	16055	50841
234	16122	50767
235	16188	50691
236	16252	50609
237	16317	50530
238	16382	50448
239	16449	50375
240	16518	50309
241	16586	50239
242	16654	50170
243	16720	50094
244	16791	50032
245	16858	49959
246	16931	49903
247	17002	49842
248	17072	49778
249	17139	49704
250	17205	49628
251	17278	49573
252	17344	49497
253	17411	49423
254	17481	49358
255	17549	49288
256	17622	49232
257	17686	49153
258	17751	49073
259	17817	48998
260	17887	48933
261	17957	48868
262	18025	48799
263	18096	48737
264	18163	48664
265	18231	48595
266	18296	48517
267	18365	48448
268	18436	48388
269	18509	48330
270	18580	48267
271	18648	48197
272	18714	48122
273	18779	48045
274	18845	47969
275	18916	47907
276	18986	47842
277	19052	47768
278	19121	47700
279	19186	47623
280	19251	47546
281	19318	47473
282	19383	47396
283	19451	47328
284	19519	47257
285	19587	47188
286	19663	47137
287	19730	47064
288	19800	47001
289	19873	46941
290	19945	46882
291	20014	46814
292	20081	46742
293	20147	46669
294	20212	46591
295	20277	46513
296	20341	46437
297	20407	46363
298	20476	46295
299	20547	46231
300	20616	46164
301	20688	46102
302	20754	46029
303	20819	45952
304	20885	45879
305	20953	45809
306	21028	45754
307	21100	45694
308	21179	45648
309	21244	45572
310	21312	45503
311	21379	45431
312	21447	45361
313	21515	45293
314	21583	45222
315	21649	45148
316	21714	45072
317	21779	44996
318	21846	44926
319	21912	44853
320	21983	44788
321	22053	44723
322	22121	44653
323	22188	44583
324	22254	44509
325	22319	44433
326	22384	44359
327	22456	44297
328	22524	44227
329	22596	44165
330	22664	44097
331	22729	44020
332	22797	43951
333	22863	43878
334	22929	43805
335	22997	43735
336	23066	43669
337	23134	43600
338	23200	43526
339	23266	43452
340	23332	43379
341	23398	43308
342	23466	43239
343	23535	43171
344	23604	43103
345	23671	43032
346	23736	42957
347	23802	42885
348	23872	42820
349	23942	42754
350	24009	42684
351	24083	42625
352	24154	42560
353	24221	42491
354	24289	42420
355	24356	42349
356	24422	42277
357	24492	42212
358	24560	42142
359	24628	42074
360	24696	42004
361	24762	41931
362	24826	41856
363	24864	41737
364	24931	41667
365	24999	41597
366	25071	41534
367	25138	41464
368	25203	41391
369	25277	41332
370	25344	41261
371	25411	41191
372	25488	41137
373	25561	41075
374	25628	41005
375	25699	40941
376	25765	40868
377	25830	40795
