iter	Passed	Remaining
0	20	20914
1	39	19479
2	54	18232
3	70	17579
4	87	17436
5	102	17023
6	118	16842
7	133	16606
8	148	16375
9	162	16128
10	177	15993
11	192	15860
12	208	15823
13	230	16202
14	245	16090
15	259	15988
16	274	15884
17	289	15795
18	304	15735
19	321	15768
20	336	15682
21	351	15613
22	365	15546
23	382	15536
24	397	15500
25	412	15467
26	427	15417
27	443	15390
28	458	15338
29	472	15279
30	486	15212
31	500	15148
32	515	15094
33	529	15055
34	544	15009
35	559	14976
36	573	14936
37	588	14892
38	602	14842
39	617	14829
40	632	14798
41	646	14751
42	661	14724
43	677	14711
44	691	14669
45	706	14645
46	720	14599
47	735	14580
48	749	14540
49	764	14521
50	778	14491
51	793	14468
52	810	14485
53	826	14479
54	841	14460
55	856	14442
56	872	14437
57	887	14420
58	903	14413
59	919	14408
60	934	14388
61	949	14367
62	965	14364
63	981	14356
64	996	14336
65	1010	14301
66	1026	14291
67	1041	14280
68	1057	14268
69	1077	14313
70	1092	14290
71	1107	14273
72	1123	14261
73	1138	14241
74	1152	14211
75	1168	14205
76	1184	14197
77	1199	14175
78	1213	14143
79	1229	14139
80	1244	14120
81	1259	14098
82	1274	14075
83	1290	14067
84	1310	14107
85	1324	14074
86	1341	14079
87	1357	14073
88	1375	14077
89	1396	14115
90	1412	14109
91	1429	14106
92	1444	14090
93	1461	14082
94	1476	14063
95	1490	14034
96	1504	14003
97	1518	13974
98	1533	13957
99	1548	13936
100	1563	13914
101	1579	13903
102	1593	13876
103	1607	13852
104	1621	13823
105	1635	13795
106	1649	13767
107	1664	13746
108	1677	13712
109	1693	13700
110	1707	13678
111	1721	13647
112	1735	13621
113	1748	13593
114	1763	13570
115	1777	13546
116	1791	13518
117	1807	13512
118	1821	13482
119	1836	13467
120	1850	13440
121	1864	13421
122	1878	13397
123	1893	13377
124	1909	13363
125	1925	13354
126	1940	13337
127	1954	13318
128	1968	13293
129	1983	13272
130	1998	13257
131	2013	13239
132	2027	13217
133	2042	13199
134	2057	13180
135	2072	13163
136	2086	13141
137	2100	13119
138	2113	13094
139	2129	13083
140	2144	13062
141	2158	13039
142	2173	13026
143	2188	13008
144	2203	12995
145	2219	12982
146	2233	12961
147	2247	12939
148	2263	12928
149	2278	12909
150	2292	12888
151	2309	12885
152	2323	12864
153	2337	12841
154	2352	12822
155	2366	12805
156	2381	12787
157	2397	12777
158	2412	12759
159	2428	12747
160	2443	12731
161	2458	12718
162	2476	12714
163	2490	12696
164	2505	12678
165	2520	12661
166	2535	12644
167	2549	12625
168	2563	12607
169	2578	12587
170	2592	12569
171	2606	12548
172	2621	12531
173	2636	12515
174	2649	12492
175	2667	12490
176	2683	12477
177	2698	12461
178	2714	12451
179	2729	12434
180	2745	12424
181	2760	12407
182	2776	12395
183	2792	12386
184	2809	12375
185	2823	12355
186	2837	12334
187	2851	12316
188	2865	12297
189	2880	12281
190	2896	12269
191	2910	12249
192	2927	12242
193	2942	12225
194	2957	12209
195	2971	12189
196	2985	12170
197	3000	12152
198	3014	12131
199	3027	12111
200	3042	12093
201	3056	12075
202	3071	12058
203	3085	12041
204	3101	12026
205	3114	12004
206	3130	11994
207	3144	11974
208	3159	11957
209	3173	11937
210	3187	11919
211	3201	11899
212	3215	11881
213	3229	11863
214	3244	11844
215	3258	11827
216	3273	11812
217	3289	11801
218	3306	11792
219	3320	11772
220	3334	11752
221	3349	11737
222	3364	11723
223	3379	11706
224	3397	11701
225	3412	11687
226	3428	11674
227	3443	11660
228	3457	11642
229	3471	11623
230	3486	11607
231	3501	11590
232	3515	11570
233	3529	11553
234	3543	11536
235	3558	11519
236	3574	11507
237	3588	11487
238	3602	11469
239	3616	11452
240	3631	11437
241	3645	11418
242	3659	11398
243	3672	11379
244	3686	11360
245	3700	11343
246	3714	11323
247	3729	11308
248	3743	11290
249	3759	11277
250	3774	11263
251	3788	11244
252	3805	11236
253	3822	11226
254	3837	11211
255	3854	11202
256	3870	11188
257	3885	11174
258	3900	11158
259	3914	11142
260	3930	11128
261	3944	11110
262	3958	11091
263	3976	11084
264	3991	11072
265	4008	11059
266	4024	11047
267	4039	11033
268	4054	11019
269	4069	11002
270	4085	10988
271	4099	10972
272	4114	10955
273	4129	10940
274	4143	10924
275	4157	10906
276	4171	10889
277	4186	10871
278	4200	10854
279	4214	10838
280	4228	10820
281	4242	10802
282	4258	10788
283	4272	10772
284	4287	10756
285	4304	10746
286	4319	10729
287	4333	10713
288	4348	10697
289	4363	10683
290	4379	10669
291	4395	10656
292	4410	10641
293	4424	10624
294	4438	10608
295	4453	10591
296	4467	10574
297	4481	10556
298	4496	10541
299	4510	10524
300	4524	10507
301	4539	10491
302	4554	10477
303	4568	10459
304	4582	10442
305	4596	10424
306	4610	10406
307	4624	10390
308	4638	10373
309	4652	10355
310	4666	10338
311	4680	10321
312	4694	10304
313	4708	10286
314	4722	10269
315	4736	10251
316	4750	10235
317	4764	10218
318	4778	10200
319	4792	10184
320	4810	10175
321	4825	10160
322	4839	10143
323	4853	10126
324	4867	10110
325	4884	10098
326	4898	10082
327	4913	10066
328	4928	10051
329	4942	10035
330	4957	10020
331	4972	10005
332	4987	9990
333	5005	9981
334	5022	9970
335	5036	9953
336	5051	9937
337	5065	9921
338	5081	9907
339	5096	9893
340	5111	9878
341	5126	9862
342	5142	9850
343	5159	9839
344	5175	9825
345	5190	9810
346	5204	9794
347	5219	9779
348	5233	9761
349	5247	9745
350	5261	9729
351	5279	9719
352	5297	9710
353	5312	9694
354	5328	9682
355	5343	9666
356	5360	9654
357	5380	9648
358	5396	9636
359	5412	9621
360	5426	9606
361	5441	9590
362	5456	9574
363	5469	9557
364	5484	9540
365	5498	9525
366	5512	9507
367	5526	9491
368	5541	9476
369	5556	9460
370	5569	9443
371	5583	9425
372	5597	9408
373	5610	9391
374	5625	9375
375	5638	9358
376	5653	9343
377	5667	9326
378	5682	9310
379	5698	9298
380	5714	9284
381	5728	9267
382	5743	9252
383	5757	9235
384	5770	9218
385	5785	9202
386	5800	9187
387	5817	9175
388	5832	9160
389	5846	9145
390	5862	9131
391	5877	9116
392	5893	9102
393	5909	9088
394	5923	9073
395	5939	9058
396	5954	9043
397	5967	9026
398	5981	9010
399	5996	8994
400	6009	8976
401	6023	8960
402	6037	8944
403	6052	8928
404	6066	8913
405	6082	8898
406	6097	8883
407	6110	8866
408	6125	8851
409	6141	8837
410	6154	8820
411	6169	8804
412	6183	8788
413	6197	8772
414	6212	8757
415	6226	8741
416	6241	8725
417	6255	8709
418	6270	8694
419	6284	8679
420	6299	8663
421	6315	8650
422	6330	8634
423	6344	8619
424	6360	8605
425	6376	8591
426	6391	8576
427	6406	8561
428	6421	8547
429	6436	8532
430	6452	8518
431	6475	8514
432	6489	8498
433	6504	8483
434	6518	8467
435	6534	8453
436	6549	8437
437	6563	8422
438	6578	8406
439	6593	8391
440	6611	8380
441	6626	8365
442	6641	8351
443	6656	8335
444	6673	8322
445	6687	8307
446	6704	8294
447	6719	8279
448	6735	8265
449	6750	8250
450	6763	8233
451	6777	8217
452	6793	8203
453	6810	8190
454	6824	8174
455	6838	8158
456	6853	8143
457	6868	8128
458	6883	8113
459	6899	8099
460	6914	8084
461	6930	8070
462	6945	8055
463	6960	8040
464	6975	8025
465	6990	8010
466	7004	7994
467	7018	7978
468	7033	7963
469	7047	7946
470	7061	7931
471	7075	7915
472	7089	7899
473	7104	7883
474	7118	7868
475	7132	7851
476	7147	7836
477	7161	7820
478	7176	7805
479	7191	7790
480	7205	7774
481	7219	7758
482	7234	7743
483	7249	7728
484	7263	7712
485	7277	7697
486	7293	7682
487	7309	7669
488	7324	7653
489	7338	7638
490	7354	7623
491	7369	7609
492	7383	7593
493	7399	7578
494	7414	7564
495	7429	7549
496	7444	7534
497	7459	7518
498	7473	7503
499	7488	7488
500	7502	7472
501	7516	7457
502	7531	7441
503	7546	7426
504	7560	7410
505	7574	7394
506	7588	7378
507	7601	7362
508	7615	7346
509	7630	7331
510	7645	7316
511	7660	7301
512	7675	7286
513	7689	7270
514	7704	7255
515	7718	7239
516	7732	7223
517	7746	7207
518	7761	7193
519	7776	7178
520	7793	7165
521	7812	7153
522	7827	7139
523	7843	7124
524	7858	7109
525	7872	7094
526	7888	7080
527	7903	7065
528	7923	7054
529	7939	7040
530	7954	7025
531	7971	7012
532	7986	6997
533	8002	6983
534	8016	6967
535	8032	6953
536	8047	6938
537	8062	6923
538	8078	6909
539	8092	6894
540	8106	6878
541	8121	6862
542	8135	6846
543	8150	6832
544	8165	6816
545	8179	6801
546	8193	6785
547	8207	6769
548	8222	6755
549	8238	6740
550	8253	6725
551	8267	6710
552	8281	6694
553	8295	6678
554	8312	6665
555	8326	6649
556	8341	6634
557	8355	6618
558	8369	6602
559	8384	6587
560	8400	6573
561	8415	6558
562	8431	6544
563	8445	6528
564	8459	6513
565	8474	6498
566	8489	6482
567	8503	6467
568	8518	6452
569	8532	6436
570	8547	6421
571	8561	6406
572	8576	6391
573	8590	6375
574	8605	6360
575	8620	6345
576	8635	6330
577	8649	6314
578	8663	6299
579	8678	6284
580	8693	6269
581	8707	6253
582	8721	6238
583	8736	6223
584	8752	6208
585	8766	6193
586	8781	6178
587	8796	6163
588	8812	6149
589	8827	6134
590	8842	6119
591	8856	6103
592	8872	6089
593	8887	6074
594	8902	6059
595	8917	6044
596	8932	6029
597	8947	6014
598	8963	6000
599	8976	5984
600	8991	5969
601	9005	5953
602	9018	5937
603	9032	5922
604	9046	5906
605	9061	5891
606	9075	5875
607	9091	5861
608	9106	5847
609	9124	5833
610	9139	5819
611	9154	5803
612	9169	5788
613	9183	5773
614	9198	5758
615	9212	5743
616	9226	5727
617	9244	5714
618	9260	5699
619	9275	5684
620	9291	5670
621	9310	5658
622	9330	5645
623	9348	5632
624	9362	5617
625	9379	5603
626	9394	5588
627	9409	5573
628	9425	5559
629	9439	5543
630	9454	5529
631	9469	5514
632	9484	5498
633	9499	5483
634	9513	5468
635	9528	5453
636	9543	5438
637	9559	5423
638	9572	5408
639	9587	5393
640	9602	5377
641	9616	5362
642	9630	5346
643	9645	5332
644	9660	5316
645	9675	5302
646	9689	5286
647	9703	5271
648	9718	5255
649	9732	5240
650	9747	5225
651	9762	5210
652	9776	5195
653	9790	5179
654	9807	5165
655	9822	5150
656	9836	5135
657	9851	5120
658	9867	5105
659	9882	5090
660	9897	5076
661	9912	5060
662	9927	5046
663	9942	5030
664	9956	5015
665	9971	5000
666	9986	4985
667	10004	4972
668	10022	4958
669	10037	4943
670	10052	4928
671	10066	4913
672	10081	4898
673	10096	4883
674	10109	4867
675	10124	4852
676	10139	4837
677	10157	4823
678	10172	4808
679	10187	4793
680	10200	4778
681	10215	4763
682	10230	4748
683	10245	4733
684	10260	4718
685	10274	4702
686	10289	4687
687	10306	4673
688	10321	4659
689	10336	4644
690	10350	4628
691	10365	4613
692	10380	4598
693	10396	4584
694	10411	4569
695	10427	4554
696	10447	4541
697	10463	4527
698	10476	4511
699	10491	4496
700	10506	4481
701	10520	4466
702	10536	4451
703	10551	4436
704	10569	4422
705	10591	4410
706	10609	4397
707	10630	4384
708	10648	4370
709	10664	4355
710	10680	4341
711	10696	4326
712	10711	4311
713	10726	4296
714	10740	4281
715	10755	4266
716	10770	4251
717	10785	4236
718	10802	4222
719	10817	4206
720	10832	4191
721	10846	4176
722	10861	4161
723	10877	4146
724	10892	4131
725	10907	4116
726	10922	4101
727	10936	4086
728	10951	4071
729	10965	4055
730	10979	4040
731	10994	4025
732	11008	4010
733	11022	3994
734	11037	3979
735	11051	3964
736	11066	3949
737	11080	3933
738	11095	3918
739	11110	3903
740	11123	3888
741	11139	3873
742	11154	3858
743	11170	3843
744	11185	3828
745	11199	3813
746	11214	3798
747	11228	3783
748	11244	3768
749	11257	3752
750	11272	3737
751	11287	3722
752	11302	3707
753	11317	3692
754	11332	3677
755	11347	3662
756	11363	3647
757	11378	3632
758	11394	3617
759	11409	3603
760	11425	3588
761	11441	3573
762	11456	3558
763	11471	3543
764	11486	3528
765	11499	3512
766	11513	3497
767	11528	3482
768	11543	3467
769	11558	3452
770	11572	3437
771	11587	3422
772	11602	3407
773	11616	3391
774	11631	3376
775	11646	3361
776	11660	3346
777	11675	3331
778	11690	3316
779	11704	3301
780	11719	3286
781	11734	3271
782	11750	3256
783	11765	3241
784	11785	3227
785	11801	3213
786	11815	3197
787	11830	3182
788	11847	3168
789	11863	3153
790	11879	3138
791	11898	3124
792	11915	3110
793	11932	3095
794	11947	3080
795	11963	3066
796	11978	3050
797	11995	3036
798	12010	3021
799	12026	3006
800	12040	2991
801	12054	2975
802	12069	2961
803	12083	2945
804	12098	2930
805	12113	2915
806	12128	2900
807	12143	2885
808	12159	2870
809	12173	2855
810	12187	2840
811	12202	2825
812	12217	2810
813	12231	2795
814	12246	2779
815	12263	2765
816	12277	2750
817	12294	2735
818	12309	2720
819	12323	2705
820	12339	2690
821	12353	2675
822	12367	2659
823	12383	2645
824	12398	2630
825	12414	2615
826	12428	2600
827	12443	2584
828	12459	2570
829	12473	2554
830	12488	2539
831	12504	2524
832	12519	2509
833	12533	2494
834	12547	2479
835	12562	2464
836	12576	2449
837	12590	2433
838	12605	2418
839	12620	2403
840	12634	2388
841	12648	2373
842	12662	2358
843	12676	2343
844	12691	2328
845	12706	2313
846	12721	2298
847	12736	2282
848	12751	2267
849	12765	2252
850	12780	2237
851	12800	2223
852	12814	2208
853	12829	2193
854	12843	2178
855	12858	2163
856	12874	2148
857	12890	2133
858	12905	2118
859	12920	2103
860	12935	2088
861	12950	2073
862	12964	2058
863	12980	2043
864	12993	2027
865	13009	2012
866	13023	1997
867	13039	1982
868	13054	1967
869	13072	1953
870	13087	1938
871	13102	1923
872	13118	1908
873	13133	1893
874	13150	1878
875	13165	1863
876	13180	1848
877	13198	1834
878	13213	1818
879	13229	1804
880	13244	1789
881	13262	1774
882	13276	1759
883	13296	1744
884	13310	1729
885	13326	1714
886	13341	1699
887	13357	1684
888	13372	1669
889	13387	1654
890	13403	1639
891	13418	1624
892	13433	1609
893	13448	1594
894	13463	1579
895	13478	1564
896	13493	1549
897	13508	1534
898	13522	1519
899	13536	1504
900	13550	1488
901	13564	1473
902	13579	1458
903	13594	1443
904	13609	1428
905	13623	1413
906	13637	1398
907	13652	1383
908	13667	1368
909	13682	1353
910	13696	1338
911	13709	1322
912	13725	1307
913	13740	1292
914	13754	1277
915	13769	1262
916	13786	1247
917	13802	1232
918	13817	1217
919	13832	1202
920	13847	1187
921	13862	1172
922	13878	1157
923	13893	1142
924	13908	1127
925	13923	1112
926	13938	1097
927	13954	1082
928	13968	1067
929	13982	1052
930	13997	1037
931	14012	1022
932	14027	1007
933	14043	992
934	14058	977
935	14073	962
936	14087	947
937	14101	932
938	14116	917
939	14131	901
940	14146	886
941	14162	872
942	14178	856
943	14191	841
944	14207	826
945	14221	811
946	14235	796
947	14250	781
948	14264	766
949	14281	751
950	14297	736
951	14312	721
952	14327	706
953	14344	691
954	14359	676
955	14375	661
956	14394	646
957	14410	631
958	14424	616
959	14439	601
960	14453	586
961	14469	571
962	14483	556
963	14500	541
964	14518	526
965	14533	511
966	14550	496
967	14564	481
968	14581	466
969	14595	451
970	14612	436
971	14627	421
972	14643	406
973	14659	391
974	14673	376
975	14687	361
976	14701	346
977	14716	331
978	14731	315
979	14746	300
980	14760	285
981	14778	270
982	14792	255
983	14807	240
984	14823	225
985	14837	210
986	14853	195
987	14868	180
988	14884	165
989	14899	150
990	14914	135
991	14929	120
992	14944	105
993	14959	90
994	14974	75
995	14994	60
996	15010	45
997	15026	30
998	15039	15
999	15054	0
